comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium
750138109,8.359000205993652,20.2,1297.34,400.053,588.08,731.046,933.662,1101.208,1283.548,1946.0099487304688,1925.322
760779528,296.34,296.34,5242.74,1756.07,2443.71,2922.221,3552.706,4041.021,4545.244,7864.1103515625,6817.866
760619799,5.2,5.2,395.84,135.257,203.738,247.891,301.57,339.875,376.724,593.7599945068359,565.086
750115608,3.24,3.24,682.79,160.336,255.358,322.963,412.29,481.093,551.483,1024.1849670410156,827.2244999999999
750115614,1.371999979019165,3.0,348.95,74.911,120.337,155.728,206.592,249.035,295.462,523.4250183105469,443.193
760744736,0.7870000004768372,3.36,1194.93,268.387,480.784,640.159,856.954,1027.049,1202.844,1792.3950805664062,1804.266
760744755,0.16899999976158142,2.33,1325.47,309.762,553.693,734.854,978.856,1168.469,1362.862,1988.2049560546875,2044.293
720239425,0.01600000075995922,0.15,12.16,4.253,6.408,8.091,10.527,12.58,14.849,18.239999771118164,22.2735
750154561,106.15299987792969,134.12,1637.01,638.827,962.635,1186.229,1476.098,1696.21,1919.235,2455.515014648437,2878.8525
760646471,6.295000076293945,2.07,267.61,62.328,101.743,131.627,173.402,207.316,243.545,401.41497802734375,365.3175
760609608,17.709999084472656,5.48,397.11,118.844,193.987,249.971,326.949,388.452,453.277,595.6649780273438,679.9155
760603477,123.81400299072266,48.04,1362.45,313.085,454.147,569.802,744.628,898.042,1073.434,2043.6749267578125,1610.1509999999998
760556382,15.942999839782715,4.96,447.02,94.926,161.64,215.804,296.128,364.952,441.781,670.5299835205078,662.6715
760556394,103.74500274658203,20.12,1007.9,374.079,574.875,695.296,831.149,920.987,1001.95,1511.8500366210938,1502.9250000000002
760601460,2.674999952316284,2.82,689.95,172.515,287.514,377.538,506.877,614.524,731.864,1034.9250183105469,1097.796
760626059,9.630000114440918,3.72,302.0,69.073,109.642,138.671,177.259,207.161,237.914,453.0,356.871
720184215,0.03099999949336052,0.02,11.59,3.735,5.634,6.941,8.628,9.905,11.194,17.385000228881836,16.791
760662936,134.49600219726562,56.29,2052.68,728.87,1053.396,1257.761,1502.714,1675.723,1841.05,3079.019897460937,2761.575
750128031,0.6420000195503235,6.12,1281.88,315.0,493.337,629.249,821.21,978.989,1149.547,1922.8200073242188,1724.3205
760841128,4.29,4.29,2236.79,386.465,683.487,908.987,1220.194,1468.144,1727.942,3355.18505859375,2591.913
760708012,31.891000747680664,7.13,460.54,85.008,130.337,167.261,222.718,271.049,325.945,690.8100128173828,488.9175
760556464,19.02899932861328,20.33,642.58,188.73,273.607,329.873,400.545,452.752,504.53,963.8700256347656,756.795
750169008,16.69,16.69,2305.48,311.216,544.632,771.749,1170.154,1570.167,2081.139,3458.219970703125,3121.7085
760538036,8.711000442504883,2.6,267.95,85.409,129.422,157.21,190.279,213.375,235.189,401.9250183105469,352.7835
750158810,2.3570001125335693,0.44,278.03,77.206,117.373,144.178,177.79,202.488,226.827,417.0449981689453,340.2405
760708072,4.605000019073486,5.71,283.3,90.832,141.17,179.598,234.004,278.843,327.434,424.9499816894531,491.15100000000007
760134641,84.43599700927734,76.39,2861.67,828.245,1308.009,1685.402,2233.61,2696.126,3207.028,4292.5048828125,4810.5419999999995
